A	A
A run of items out of a list	Часть списка подряд идущих элементов
A to Z / smallest first	От А до Я / сначала меньшие
Above	Выше
Account	Аккаунт
Act on Notification	Действие с уведомлением
Action	Действие
Activate	Включить
Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue	Включает сцену освещения, настроенную в приложении Hue, или выключает её комнату — Philips Hue
Active	Активно
Active from	Активно с
Active until (earlier than \'from\' runs past midnight)	Активно до (если раньше, чем «с», интервал переходит через полночь)
Add to List	Добавить в список
Adjusts an audio stream\'s volume (up, down, set, mute or unmute)	Меняет громкость аудиопотока (громче, тише, задать, выключить или включить звук)
Airplane mode	Режим полёта
Airplane Mode Changed	Изменение режима полёта
Alarm	Будильник
Alarms	Будильники
All	Все
Also when only its details change	Также когда меняются только детали
Also when the device starts moving	Также когда устройство начинает двигаться
Always (high battery use)	Всегда (высокий расход батареи)
Ambient Light	Освещённость
Ambient light	Освещённость
Answer	Ответ
Answer type	Тип ответа
Any	Любой
Anything	Любое
App	Приложение
App (optional)	Приложение (необязательно)
App Initialised	Приложение запущено
App Installed / Removed	Установка / удаление приложения
Appends an item to a named list, usually from inside a loop	Добавляет элемент в именованный список, обычно изнутри цикла
Ask AI	Спросить ИИ
Ask for Input	Запросить ввод
Ask to Choose	Предложить выбор
Ask Yes or No	Спросить «да или нет»
Asks the user a yes/no question in a popup dialog and branches on the answer	Задаёт пользователю вопрос «да/нет» во всплывающем окне и ветвится по ответу
Asks the user to type a value in a popup dialog and puts it on a port	Просит пользователя ввести значение во всплывающем окне и выдаёт его на порт
At	В
At a time of day	В определённое время суток
Attribute (optional)	Атрибут (необязательно)
Auto	Авто
Auto brightness	Автояркость
Automatic	Автоматически
Away for (minutes)	Отсутствие в течение (минут)
B	B
Balanced	Сбалансированная
Battery Level	Уровень заряда
Battery level	Уровень заряда
Bcc	Скрытая копия
Below	Ниже
Bluetooth Device Connected	Подключение Bluetooth-устройства
Bluetooth enabled	Bluetooth включён
Bluetooth State Change	Изменение состояния Bluetooth
Body	Текст
Boolean	Логическое
Break Struct	Разобрать структуру
Brightness %	Яркость, %
Build text	Собрать текст
